tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1519421843941253122,ArthurCaplan,on #KNX in 5 mins. Fauci and end of pandemic,04/27/2022 21:02:51,0,0,1,0,False
1519332344250966019,ArthurCaplan,CDC advisers discuss future of COVID-19 booster shots https://t.co/UTrUgUKTzq,04/27/2022 15:07:13,0,0,0,0,False
1519025412239728640,ArthurCaplan,RT @MarkianHawryluk: Coronavirus has infected majority of Americans https://t.co/kLqMzPXKqI,04/26/2022 18:47:35,2,0,0,0,False
1519005733731409920,ArthurCaplan,"RT @bachyns: “Though police work inherently carries with it the possibility of violent or lethal encounters, for the last two years Covid-1…",04/26/2022 17:29:23,9,0,0,0,False
1518989385345208320,ArthurCaplan,The data points used to inform decisions about Covid-19 haven't kept up with the changing nature of the pandemic https://t.co/IotLH2121d via @BW,04/26/2022 16:24:25,2,0,14,2,False
1518702693052817408,ArthurCaplan,RT @CaulfieldTim: Majority of family members of Covid patients treated in the ICU report PTSD symptoms https://t.co/6wMqu3kXhP via @statnew…,04/25/2022 21:25:12,8,0,0,0,False
1518546098645872640,ArthurCaplan,COVID-19-vitamin D paper retracted by Springer Nature journal – Retraction Watch https://t.co/itznHM3psz,04/25/2022 11:02:57,1,0,7,1,False
1518348878298419212,ArthurCaplan,"RT @CaulfieldTim: ""I don't believe she was supposed to die. I blame the misinformation.""

""Their mom died of #COVID. They say conspiracy th…",04/24/2022 21:59:16,113,0,0,0,False
1518342384634978304,ArthurCaplan,Biden admin to promote availability of COVID antiviral pill (from @AP). Horrible implementation.  Just horrible  https://t.co/7e2PXJ9ujQ,04/24/2022 21:33:28,0,1,1,0,False
1518342253718163457,ArthurCaplan,Israel lifts indoor mask mandate as coronavirus cases drop (from @AP) https://t.co/vKx1b1HE9C,04/24/2022 21:32:57,1,0,2,0,False
1518340868775858179,ArthurCaplan,Second Covid-19 Vaccine Boosters: Getting It Now Versus Waiting Until Fall - Forbes https://t.co/UEpMOkV5q6,04/24/2022 21:27:27,1,0,1,1,False
1518339455714828288,ArthurCaplan,Beijing races to contain “urgent and grim” COVID outbreak as Shanghai lockdown continues - CNN.  This is insane. Need to use all tools not just mass quarantine.  https://t.co/rZwlWo1zv2,04/24/2022 21:21:50,0,0,2,0,False
1518285583369617412,ArthurCaplan,Opinion | We're Toying With a Ruinous End to COVID Travel Masking https://t.co/4GTyLjSF4q,04/24/2022 17:47:46,0,2,4,0,False
1518285292368797698,ArthurCaplan,Four lessons from the pandemic to reboot the NIH https://t.co/OwAyUf9A61,04/24/2022 17:46:36,0,0,0,0,False
1517974225994366981,ArthurCaplan,North American Birds Face Their Own Pandemic With Latest Bout of Avian Flu | Audubon.  Why won’t they mask.  Get vaccinated.  Disinformation?   Bird brains? https://t.co/mhS6ztv5az,04/23/2022 21:10:32,0,0,0,0,False
