tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1440272175559151619,BhadeliaMD,"RT @CarlosdelRio7: Two dose version of Johnson &amp; Johnson shot 94% effective against Covid-19, study finds - CNN  https://t.co/6jjGQtX5j7",09/21/2021 11:10:20,48,0,0,0,False
1439997724741586946,BhadeliaMD,We at @BUCEID are excited to bring together researchers from across the @BU_Tweets community who tackle  pandemic preparedness &amp; response. https://t.co/HjKOIFip4h,09/20/2021 16:59:46,8,1,16,0,False
1439940767766794246,BhadeliaMD,"RT @roby_bhatt: Vaccine Monday returns! Pfizer press release on trial of COVID vaccine in kids age 5-11:
- 1/3 of dose given to ≥12yo
- Ab…",09/20/2021 13:13:26,48,0,0,0,False
1439779910789312513,BhadeliaMD,"RT @amymaxmen: The utter lack of Covid vaccines in much of the world illustrates the shortcomings of philanthropy. 

Biden will promote don…",09/20/2021 02:34:15,20,0,0,0,False
1439420234306363396,BhadeliaMD,"Really critical information.

Has the pandemic ended?

https://t.co/8Jn9jFswO1",09/19/2021 02:45:01,151,36,536,11,False
1438834221817155589,BhadeliaMD,"RT @mehdirhasan: I debunk the four main GOP arguments against Covid vaccine mandates in 60 seconds.

#minuterant

Watch/share:
https://t.co…",09/17/2021 11:56:25,1962,0,0,0,False
1438472307522080772,BhadeliaMD,NIH builds large nationwide study population of tens of thousands to support research on long-term effects of COVID-19 https://t.co/xzEYfECYAw,09/16/2021 11:58:18,8,3,45,2,False
1437941591549911047,BhadeliaMD,"RT @SaadOmer3: One of the biggest global inequities in this pandemic is inequity in data. For example, we urgently need data on:

-Vaccine…",09/15/2021 00:49:25,7,0,0,0,False
1437589598566289408,BhadeliaMD,"Hospitals are overwhelmed in some undervaccinated states due to covid-19 patients.

They are under siege outside due to protests against vaccine mandates.

 And over the phone from people insisting on being given an unproven drug.   

US is such a normal place right now.",09/14/2021 01:30:44,119,41,442,2,False
1436835506973814785,BhadeliaMD,"RT @HelenBranswell: The country that gave the world Borgen has charted a sane and socially cohesive path through the pandemic. 
Respect, De…",09/11/2021 23:34:14,55,0,0,0,False
1436547947374780417,BhadeliaMD,"RT @inthebubblepod: What keeps Dr. Fauci up at night? Find out in his conversation with @ASlavitt. 🎙️ 

#COVID19 #DeltaVariant 

https://t.…",09/11/2021 04:31:35,54,0,0,0,False
1436401955304247304,BhadeliaMD,"JUST THIS. Cut out all the noise. Just this about why vaccination is important. https://t.co/IGfIiyRjR6

Monitoring Incidence of COVID-19 Cases... https://t.co/GYc7dRttH1 via @CDCgov",09/10/2021 18:51:27,23,1,51,0,False
1436384718199705601,BhadeliaMD,"RT @washingtonpost: CDC finds unvaccinated people 11 times more likely to die of covid, Moderna vaccine more effective in preventing hospit…",09/10/2021 17:42:58,2579,0,0,0,False
1436381673248202762,BhadeliaMD,RT @CDCgov: New @CDCMMWR finds mRNA #COVID19 vaccines offer protection to help prevent hospitalization from COVID-19 for veterans at VA med…,09/10/2021 17:30:52,137,0,0,0,False
1436363330789298180,BhadeliaMD,"RT @apoorva_nyc: NEW: for many scientists, the Biden administration's new plan for Covid poses a simple question: Will these measures turn…",09/10/2021 16:17:59,44,0,0,0,False
1436119228118089732,BhadeliaMD,"RT @syramadad: Putting COVID numbers and vaccinations into context.

People often have a hard time grappling with large numbers.  These ill…",09/10/2021 00:08:00,35,0,0,0,False
1436087232658558981,BhadeliaMD,"RT @PeterKilmarx: BRAVO @ABIMcert: ""Providing #misinformation about the #COVID19 #vaccine contradicts physicians' ethical and professional…",09/09/2021 22:00:52,4,0,0,0,False
1436025725480493056,BhadeliaMD,"RT @Boghuma: 251,000 pediatric infections w #COVID occurred last week. The highest number since start of  pandemic in #USA.
I had hoped the…",09/09/2021 17:56:27,99,0,0,0,False
1435936526471516164,BhadeliaMD,"Join in next week for this free conference where @AndyWeberNCB Stu Solomon @ConnectedDMV Dr. James Crowe &amp; I speak about pandemic preparedness. @BUCEID 

We are right after fireside chat w Dr. Fauci on Tues morning. Don't want to miss that! Register here: https://t.co/E2BGEiJUao",09/09/2021 12:02:00,3,1,10,1,False
