tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1441518440305487878,BillGates,"Expanding the geography of vaccine manufacturing to better meet vaccine needs, both for pandemics and routine immunization, is a critical task. https://t.co/64gBEEWZLg",09/24/2021 21:42:32,360,1,2754,154,True
1441179318374191106,BillGates,"In our recent Goalkeepers report, we share some of the lessons that we’ve learned from the world’s response to the COVID-19 pandemic: https://t.co/9Ta5hIGRPf",09/23/2021 23:14:59,70,0,779,33,False
1441176198139170827,BillGates,Thanks for the conversation and for your leadership in helping to end this pandemic and prevent the next one. https://t.co/eVypFhDTE5,09/23/2021 23:02:36,149,1,1345,62,False
1441086893806944270,BillGates,More than 80% of COVID-19 vaccines have been administered in high- and upper-middle-income countries while less than 1% have been administered in low-income countries. This is both profoundly unfair and hinders progress towards ending the pandemic: https://t.co/VXVBKkv7hL https://t.co/ULaqGJR7Mf,09/23/2021 17:07:44,418,0,2135,104,True
1440874865095942152,BillGates,"A global response will help the world end the COVID crisis. I'm glad to see so many leaders coming together at this U.S.-led virtual Global COVID-19 summit, and look forward to their continued efforts to help the world move out of the acute phase of this pandemic. https://t.co/6iilrL2AyG",09/23/2021 03:05:12,245,0,1812,108,False
1440722206351233024,BillGates,"Earlier I shared three actions that leaders could take to help the world out of the pandemic. For those who want to go deeper, the @gatesfoundation shares more detail on what’s needed to end this crisis: https://t.co/1Ftke22T0k",09/22/2021 16:58:35,117,0,1183,45,False
1440440604744249348,BillGates,There are three things that can be done in the coming months to bring an end to the acute phase of the pandemic and set the world on a different timeline in preparation for the next. https://t.co/41ImCLHpgt,09/21/2021 22:19:36,319,1,2449,187,False
1438915048571686914,BillGates,"But the fact that we can point to positive signs amid a once-in-a-generation global pandemic is extraordinary. With one hand tied behind their backs, countless individuals, organizations, and countries went above and beyond. https://t.co/InzRGXGtyc",09/17/2021 17:17:35,86,0,816,17,False
1438915046613012485,BillGates,"Of course, the full extent of the pandemic’s impact on the SDGs will take years to fully understand, as more and better data becomes available. And this data doesn’t diminish the very real suffering the pandemic has caused for people everywhere—far from it.",09/17/2021 17:17:35,71,1,799,15,False
1438915045203726336,BillGates,Initial projections about the pandemic’s impact on the fight against malaria were dire. But that projection spurred many countries to action to ensure that bed nets were distributed and that testing and antimalarial drugs remained available.,09/17/2021 17:17:35,24,1,242,2,False
1438915041277857793,BillGates,"When the pandemic hit, many feared the worst when it came to maintaining progress on fighting other diseases. But all over the world people stepped up to avert the worst-case scenarios. One example is malaria: https://t.co/InzRGXGtyc https://t.co/aM5mszTtWR",09/17/2021 17:17:34,223,1,1866,49,True
1438216750697365506,BillGates,"Where you live shouldn’t determine whether or not you have access to a Covid-19 vaccine, health supplies, or a diagnostic test: https://t.co/DbwClIBRox https://t.co/eeH7Ezn0Fb",09/15/2021 19:02:48,359,1,2643,183,True
1437817616530227202,BillGates,"Even amid the devastation of the COVID-19 pandemic, we’ve seen that progress can continue thanks to work started years earlier. In this year’s #Goalkeepers2030 report, we share some of the lessons that have inspired all of us at the @gatesfoundation. https://t.co/pTc6N1cg4J",09/14/2021 16:36:47,176,0,1465,44,False
