tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1442587357212037120,CDCGov,"As of September 27, 213.7 million people have received at least one dose of a #COVID19 vaccine. Of those, 183.9 million are fully vaccinated. Getting vaccinated is safe, easy, and free. Make your vaccination appointment today. More: https://t.co/zYLe3H12re https://t.co/2p5mXiFvgr",09/27/2021 20:30:02,214,131,463,27,True
1442527005828861956,CDCGov,"#HCPs: Attend the next COCA call, Tuesday, September 28, from 2–3 p.m. EDT. Topic: What Clinicians Need to Know About the Latest CDC Recommendations for Pfizer-BioNTech COVID-19 Booster Vaccination. Learn more: https://t.co/ozzhkjTS7f. #COVID19 https://t.co/K2GbgHsY8s",09/27/2021 16:30:13,47,53,105,4,True
1441826344661405697,CDCGov,"“Community Protectors” educate children on ways to stay safe &amp; help protect their communities from the spread of #COVID19, a project of CDC, CDC Foundation, &amp; Oklahoma Tribal Engagement Partners.

Download storybook &amp; coloring pages for your children here: https://t.co/pqqRJ4qWiI https://t.co/q6KAse2cHu",09/25/2021 18:06:03,81,58,178,9,True
1441515512211681281,CDCGov,"Populations who may receive a booster dose of Pfizer-BioNTech’s #COVID19 Vaccine:
- People ages 18–49 w/ an underlying medical condition
- People ages 18–64 who are at increased risk for COVID-19 exposure &amp; because of the setting they work or reside

More: https://t.co/77CTFuJFcO https://t.co/qiUbdeolft",09/24/2021 21:30:54,245,137,451,36,True
1441515506767384576,CDCGov,"Populations who should receive a booster dose of Pfizer-BioNTech’s #COVID19 Vaccine include:
- People ages 65+ and residents ages 18+ of long-term care settings
- People ages 50–64 with an underlying medical condition

More: https://t.co/77CTFuJFcO. https://t.co/GMnqTdyakT",09/24/2021 21:30:53,185,98,356,22,True
1441515499830009857,CDCGov,"CDC recommends that certain populations receive a booster shot of Pfizer-BioNTech’s #COVID19 Vaccine at least 6 months after completion of their 2-dose Pfizer-BioNTech vaccine series.

More: https://t.co/77CTFuJFcO.",09/24/2021 21:30:51,439,899,893,111,False
1441500368844824579,CDCGov,Subscribe to get CDC’s COVID Data Tracker Weekly Review sent to your inbox every Friday: https://t.co/FJy2NI8fK4.,09/24/2021 20:30:44,15,14,32,0,False
1441500202293239808,CDCGov,"As schools return to in-person learning, masks are important for reducing the spread of #COVID19 among kids in K–12 settings. To keep kids safe in school, CDC recommends universal indoor masking, COVID-19 vaccination &amp; testing, &amp; physical distancing. More: https://t.co/F4bAyObDp1 https://t.co/wfqOkJkRAj",09/24/2021 20:30:04,103,59,181,26,True
1441485112437215233,CDCGov,Health departments and community organizations: The #COVID19 Vaccination Field Guide highlights 12 evidence-based strategies to help boost vaccine confidence and uptake in your communities. Download the guide today. More: https://t.co/GeelsE4YIw. https://t.co/shzKJPD6UH,09/24/2021 19:30:06,75,37,128,11,True
1441476284723367939,CDCGov,New @CDCMMWR shows counties w/ school mask requirements had a smaller increase in pediatric #COVID19 case rates than counties w/o school mask requirements. #MaskUp in schools to help control the spread of COVID-19 in children and adolescents. https://t.co/DmzxVJlL4s https://t.co/LKu9WSpxJc,09/24/2021 18:55:02,112,215,239,64,True
