tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1519446266287206403,DrEricDing,"11) Further, 69% of autopsies of decreased #COVID19 patients shows liver infections.  https://t.co/xZbHUhpLoP",04/27/2022 22:39:54,168,16,467,16,False
1519445895707865090,DrEricDing,10) Lots of evidence for long term inflammation with #LongCovid https://t.co/ADejdci6rV,04/27/2022 22:38:26,87,5,339,5,False
1519445657064464385,DrEricDing,"RT @DrEricDing: HEADSPINNING—

📌Fauci: “we are out of the pandemic phase”

📌Fauci: “global pandemic is ongoing”

📌Fauci: “We are still expe…",04/27/2022 22:37:29,917,0,0,0,False
1519433281871228928,DrEricDing,7) Side note — #COVID19 testing in kids in 2020 and early 2021 was extremely less common because there was an assumption COVID was rare in kids. Thus many infections in kids maybe have likely been undetected. Also adenovirus could have been a recent exacerbating factor.,04/27/2022 21:48:18,63,7,346,5,False
1519432641338085380,DrEricDing,"6) On the plus side, the agency confirmed that there is no link to the coronavirus vaccine because none of the infected children have been immunized.",04/27/2022 21:45:46,72,4,411,7,False
1519432639605846018,DrEricDing,"5) In a testing sample of 53 cases, approximately 75%, i.e. 40 cases, were caused by infection with a common hepatitis-causing adenovirus.
However, 16% of the investigated cases tested positive for Covid-19.",04/27/2022 21:45:45,49,4,273,2,False
1519432060498239489,DrEricDing,3) inflammation is a major cardiovascular #LongCovid effect. It’s therefore plausible long term inflammation of the liver is possible too. https://t.co/NgvKA3zYPN,04/27/2022 21:43:27,137,11,504,8,False
1519430878509867015,DrEricDing,18) Liver inflammation from #LongCovid could be a driver of the hepatitis surge in kids. None of the kids had any of the conventional hepatitis infections. None were vaccinated. But 11 of 12 had COVID. https://t.co/Jg5OG070rd,04/27/2022 21:38:45,136,16,365,12,False
1519428946303012864,DrEricDing,"Whoa—of the 12 hepatitis cases in kids in Israel occurred in the last four months, ➡️11 of the 12 children had been infected with the #COVID19 in the previous year. None of the kid were vaccinated. One hypothesis is that liver inflammation is a #LongCOVID.
https://t.co/duqEDpJ9w6",04/27/2022 21:31:05,1891,187,3872,261,False
1519425329575739400,DrEricDing,8) let’s not forget the long term accrued damage from #LongCovid … https://t.co/NgvKA3zYPN,04/27/2022 21:16:42,85,3,292,2,False
1519405418736463872,DrEricDing,"RT @blackgirlinmain: Fauch is avoiding what will most certainly be a superspreader event, while telling us we are out of the pandemic phase…",04/27/2022 19:57:35,83,0,0,0,False
1519401956976078848,DrEricDing,"Trump Officials Awarded $700 Million Pandemic Loan Despite Objections. A congressional report by @COVIDOversight raises new questions about a pandemic relief loan to a troubled trucking company with close ties to the Trump administration, over objections.
https://t.co/lKMMjvW94a",04/27/2022 19:43:50,159,21,263,9,False
1519391381122338816,DrEricDing,3) Another way to look at the surge in #COVID deaths in the UK 🇬🇧— the 3 day average shows an even more troubling surge. https://t.co/bcuWO5GwBf,04/27/2022 19:01:48,80,14,292,0,False
1519383752337764355,DrEricDing,2) this is why I’m so angry today about all this “out of the pandemic” nonsense today. https://t.co/vt5Kk0NOZd,04/27/2022 18:31:29,99,25,549,2,False
1519383443028774914,DrEricDing,7) Does this look like COVID pandemic being over? UK 🇬🇧 is even more heavily vaccinated and boosted than the US. But UK doesn’t do much testing anymore and have lifted almost all mitigations and now doing “let it rip” mass infection. https://t.co/qqOJFchBxk,04/27/2022 18:30:16,124,17,396,6,False
1519383027616567297,DrEricDing,"Pandemic is totally over. /sarcasm. England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #COVID19 deaths at a 1 year record high. Up 52% in one week. 

HT @Antonio_Caramia #CovidIsNotOver https://t.co/Cz2iRJkjbT",04/27/2022 18:28:37,794,113,1853,58,True
1519372617605595137,DrEricDing,"2) anyone who says the pandemic is over, even for the US, is purposefully ignoring the variant data and wastewater data. https://t.co/UgJGTK0FHT",04/27/2022 17:47:15,339,43,831,12,False
1519369308572368900,DrEricDing,"RT @Enlight42: #covod19 #omicron
 Pandemic over? Not by a long shot",04/27/2022 17:34:06,100,0,0,0,False
1519367271432478730,DrEricDing,"VARIANT UPDATE—#BA2 subvariant family continues to grow to now 96.8% with the more aggressive sub-subvariant BA.2.12.1 now at 28.7% and surging quickly. Old #Ba1 Omicron nearly extinct. Be cautious folks. #CovidIsNotOver 

Figure Ht @DrWilliamKu https://t.co/pd0U6wtlde",04/27/2022 17:26:00,1441,170,3325,96,True
1519361318666608640,DrEricDing,"RT @morethanmySLE: Thank you, @DrEricDing I have tested negative for #COVID19 on days 10 &amp; 11 (today). But I will keep testing every day th…",04/27/2022 17:02:21,82,0,0,0,False
1519332954123743237,DrEricDing,"6) He may also have wanted to avoid the kind of scrutiny he faced after attending the Gridiron Gala, after which scores of attendees tested positive for COVID-19. @JeromeAdamsMD, the former surgeon general, called the Gridiron “a public health disaster.” https://t.co/d3rjtYSifF",04/27/2022 15:09:38,99,16,566,4,False
1519332037970305024,DrEricDing,"2) “The world is still in a pandemic. There’s no doubt about that. Don’t anybody get any misinterpretation of that. We are still experiencing a pandemic,” Fauci said.
He said US was in the “full-blown pandemic phase” in the winter, then entered a period of “deceleration” phase.",04/27/2022 15:06:00,91,10,523,2,False
1519331383268851712,DrEricDing,"HEADSPINNING—

📌Fauci: “we are out of the pandemic phase”

📌Fauci: “global pandemic is ongoing”

📌Fauci: “We are still experiencing a pandemic”.

📌Fauci: Will not be attending the WH Correspondent’s Dinner out of concern for “individual risk”. #COVID19
https://t.co/fK6F53UQzU https://t.co/gr3IARpdtt",04/27/2022 15:03:24,917,353,3220,154,True
1519091272379768840,DrEricDing,RT @QuinneyUte: I still can’t believe people think they’re immune from future variants after getting COVID. And at the rate new variants ar…,04/26/2022 23:09:17,183,0,0,0,False
1519088463961853955,DrEricDing,4) Another bias— natural immunity should be called “NATURAL INFECTION SURVIVORS” who survived an earlier infection. That’s why when even if “natural immunity” people higher antibodies—you’re selecting people who didn’t die last time. ➡️And don’t forget #LongCovid debilitation. https://t.co/xoPFVG4Lyk,04/26/2022 22:58:07,152,8,618,9,False
1519087256002301952,DrEricDing,3) other CDC study confirms this — that unvaccinated people with prior COVID had 5x more risk of being hospitalized than vaccinated. Bottom line - natural immunity is not always reliable. https://t.co/IWPiCOjdUr,04/26/2022 22:53:19,212,29,660,3,False
1519075500588687361,DrEricDing,"📍Sobering—75% of kids &amp; 60% of people age 18 to 49 have now had #COVID19. But experts warn people should *NOT* assume they are immune going forward! 

➡️ Also, I don’t get why some WaPo headline writer titles it as “thanks to #Omicron” as if it’s cool. 🤦🏻‍♂️
https://t.co/Rt4UC5IUBJ https://t.co/wkYCI4xDrI",04/26/2022 22:06:37,201,49,630,13,True
1519075044554592267,DrEricDing,"RT @NikkeiAsia: PANDEMIC PRESCRIPTION | STEPS FORWARD

On our latest podcast episode, @DrEricDing talks us through what we can do to achiev…",04/26/2022 22:04:48,33,0,0,0,False
1519043316263890944,DrEricDing,"5) Neither drug has been authorized by the FDA to treat the disease, and data have shown that neither offer medical benefits as a COVID-19 treatment.",04/26/2022 19:58:43,23,16,163,0,False
1519043311532744708,DrEricDing,"4) Each virtual appointment cost $90 each, according to NPR, and would often involve providing prescriptions for ivermectin and hydroxychloroquine to patients with COVID-19. https://t.co/fl0VgLR9L5",04/26/2022 19:58:42,25,2,144,1,False
1518995654948888577,DrEricDing,New— Vice President Kamala Harris has tested positive for #COVID19. She will isolate at home until she tests negative (unclear how many negative tests needed). She is not a recent close contact of Biden. https://t.co/TRGFBWqPed,04/26/2022 16:49:20,177,89,592,22,False
1518959090667511809,DrEricDing,RT @KeithBradsher: Beijing is trying to move faster than Shanghai did in addressing a coronavirus outbreak. “It’s cheaper to act earlier th…,04/26/2022 14:24:02,84,0,0,0,False
1518958939915837443,DrEricDing,2) And don’t forget the long term devastation of #LongCovid if we let #COVID19 devastate more people. https://t.co/NgvKA3zYPN,04/26/2022 14:23:26,87,5,263,6,False
1518781837384077317,DrEricDing,"Anti-maskers on Twitter lately when an epidemiologist or a doctor mentions supporting masks on public transportation to slow #COVID19. Sigh. 

(This has also happened to @jeremyfaust @SolNataMD @tmprowell @PeterHotez and many other good doctors I know).
https://t.co/007rFCXHhK",04/26/2022 02:39:42,239,75,1107,14,True
1518773041240621064,DrEricDing,@amyriscool @perpetualmystik @JohnsHopkins Let’s pray we don’t have to say “told you so” someday. Let’s hope we can end this pandemic soon before more people get hurt.,04/26/2022 02:04:45,5,3,29,0,False
1518767796024332288,DrEricDing,17) there are now at least 5-30 million people in the Us with #LongCovid— and it’s only going to grow as we learn more. https://t.co/SV0e168Y7U,04/26/2022 01:43:54,245,29,617,6,False
1518755066047602697,DrEricDing,3) The Beijing municipal government ordered late Monday night that almost everyone in the city would have to take three P.C.R. tests for the coronavirus over five days. The order came after 70 coronavirus cases had been found in the city since Friday.,04/26/2022 00:53:19,52,13,261,2,False
1518755064831217664,DrEricDing,"2) A fresh coronavirus outbreak in China’s capital has raised concerns that Beijing could become, after Shanghai, the next Chinese megacity to put life on hold to contain the spread of the Omicron variant.",04/26/2022 00:53:19,80,11,340,1,False
1518754997856608259,DrEricDing,"Beijing COVID outbreak emerging—Families in Beijing rushed to stock up on food. Supermarkets stayed open late. #Beijing residents endured long lines for mandatory testing—everyone now ordered to have 3 mandatory PCR #COVID19 tests over the next 5 days. 
https://t.co/v8bUfECQ0K",04/26/2022 00:53:03,318,47,800,9,False
