tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1486723273362575361,DrTedros,".@NeilYoungNYA, thanks for standing up against misinformation and inaccuracies around #COVID19 vaccination.
Public and private sector, in particular #socialmedia platforms, media, individuals - we all have a role to play to end this pandemic and infodemic.
https://t.co/kcFyIZQF7T",01/27/2022 15:30:25,784,470,2650,150,False
1486604229254991873,DrTedros,"I welcome Abdulla Shahid @UN_PGA's leadership to help us ensure equitable access to #COVID19 vaccines, and call on world leaders to join the campaign: https://t.co/cMWowdwHS8

We all must stand for #VaccinEquity! https://t.co/EALwXUIF23",01/27/2022 07:37:22,69,28,197,6,True
1486469262906732546,DrTedros,"RT @ArisKatzourakis: Really excellent speech including important section on covid from @DrTedros. Picking out this quote:

""To change the c…",01/26/2022 22:41:04,83,0,0,0,False
1486331711344582657,DrTedros,"As a proud alumni of @LSHTM, I warmly welcome the establishment of the new Centre Epidemic Preparedness &amp; Response. #COVID19 has highlighted the need for interdisciplinary collaboration. At @WHO we look forward to continuing to work with you for a safer world &amp; #HealthForAll. https://t.co/JoMJyHy9gO",01/26/2022 13:34:29,237,47,614,8,True
1486330121573306368,DrTedros,"Great to meet you, #Malaysia Health Minister @Khairykj. Thank you for strong commitment and support for WHO strengthening and financing. We will continue to work together to control #COVID19, #BeatNCDs, harness the power of digital tools and behavioural sciences. #EB150 https://t.co/pHO5C1vdbo https://t.co/hiby3SUlHv",01/26/2022 13:28:10,161,35,482,8,True
1486325566156464132,DrTedros,"RT @Khairykj: The Malaysian delegation to @WHO #EB150 had a wide-ranging discussion with DG @DrTedros on pandemic management, digital tools…",01/26/2022 13:10:04,77,0,0,0,False
1486070882024009741,DrTedros,"The #COVID19 pandemic is a reminder that health is the heartbeat, the foundation, the essential ingredient without which no society can flourish. #EB150 https://t.co/0LY2zDRrwO",01/25/2022 20:18:02,154,48,419,13,True
1486064788820082694,DrTedros,"Delighted to meet with Ganglip Kim, 🇰🇷 Minister of Food &amp; Drug Safety, &amp; #EB150 Vice-Chair. We discussed @WHO's call for expression of interest in hosting a new WHO Global Biomanufacturing Training Hub. Also talked about #VaccinEquity, sustainably financing WHO &amp; #PandemicAccord. https://t.co/PGNvYD8x4t",01/25/2022 19:53:50,79,75,258,6,True
1486000029974380551,DrTedros,"RT @MikeBloomberg: The pandemic isn’t the only public health challenge the world will face this year. 

From reducing tobacco use to risk o…",01/25/2022 15:36:30,69,0,0,0,False
1485997601933729794,DrTedros,"If we want a 🌍 where equity is a reality, not an aspiration, we must:
-Shift towards promoting health, well-being &amp; preventing disease
-Build up primary health care
-Develop a #PandemicAccord
-Harness the power of science, data, digital technologies
-Strengthen @WHO
#EB150 https://t.co/xhTzEPYK1i",01/25/2022 15:26:51,592,282,1286,83,True
1485716733566533643,DrTedros,"🇦🇷 Minister @carlavizzotti &amp; I also discussed President @alferdez's initiative on #mentalhealth &amp; how @WHO can support. We agreed that there's no health without mental health, &amp; spoke about the importance of a #PandemicAccord &amp; sustainable financing for health &amp; WHO. #EB150 https://t.co/2nuza6e9yM",01/24/2022 20:50:47,175,121,552,10,True
