tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1464298566810099720,EricTopol,"This is only the 5th Variant of Concern since the pandemic began: Alpha, Beta, Gamma, Delta, and now Omicron. 
That it was not named as a Variant of Interest is interesting and raises concern ;-)
There have been thousands of uninteresting #SARSCoV2 variants",11/26/2021 18:22:38,145,27,617,13,False
1464109734777131013,EricTopol,"RT @holmescnn: The #COVID19 variant discovered in South Africa spreads with frightening speed, says Dr @EricTopol.  ""The big question now i…",11/26/2021 05:52:17,355,0,0,0,False
1463628744707477516,EricTopol,"New @NEJM
Assessment of Covid reinfections in Qatar's national database, w/ Alpha and Beta variants: ""reinfections had 90% lower odds of resulting in hospitalizations or deaths than primary infections""
https://t.co/9bQBBCnNyS
Reflects the impact of infection-acquired immunity https://t.co/niXn5grlFz",11/24/2021 22:01:00,81,21,355,8,True
1463597591439060995,EricTopol,"Don't tell me ""cases are irrelevant""
That means you don't understand:
—Cases beget cases. People getting sick. Surges.   
—Cases beget #LongCovid 
—Cases beget hospitalizations &amp; deaths
—Cases drive🦠evolution and the pandemic
—That you have no idea what your are posting about",11/24/2021 19:57:12,2440,225,8720,265,False
1463594242798882817,EricTopol,"Delta is a ferocious foe.
Cases are not just rising in Europe and the US now. 
4 model countries in Asia with best practices throughout the pandemic going through or coming down from their worst surge 🇰🇷🇸🇬🇹🇭🇻🇳 https://t.co/nTXJlIOHeR",11/24/2021 19:43:54,262,35,573,15,True
1463298947053592579,EricTopol,"Delta🦠finds the unprotected. 
We have ways to prevent it and are not using them.
https://t.co/zgJ91URfp2 by @hospitals4kids @AmerAcadPeds Prevent #LongCovidKids https://t.co/x5juDWAe5n",11/24/2021 00:10:30,118,16,358,7,True
1463267673697968135,EricTopol,"Outstanding new @nature feature on #LongCovid and vaccination reviewing all of the current data, and uncertainty as to the magnitude of impact 
https://t.co/GRV00CqoVX  by @heidiledford w/ @VirusesImmunity @Dr2NisreenAlwan @PutrinoLab @Survivor_Corps https://t.co/fcdrfDPGxW",11/23/2021 22:06:14,447,27,1050,53,True
1463183133164011521,EricTopol,"Just out @Nature 
A unique peptide T-cell directed vaccine vs Covid that induced potent, broad cellular immunity against all variants in a Phase 1 clinical trial
https://t.co/QOjCFhqTCM
May be especially useful in immunocompromised people https://t.co/lvxmAiZSMo",11/23/2021 16:30:18,76,6,231,8,True
1462960939179786243,EricTopol,"From the month of August to the month of September in this US national dataset for about 33% of Americans:
—The risk of unvaccinated for getting Covid infections was consistent at ~6-fold
—The risk of unvaccinated for death increased from 11 to 14-fold https://t.co/hwk2m3Nuic",11/23/2021 01:47:23,59,3,200,8,True
1462817334645592064,EricTopol,"The UK is fully committed to understanding #LongCovid 
""The research community have joined patient researchers in their efforts to improve understanding of long COVID, including its symptoms, health impacts, pathophysiology and treatments""
https://t.co/GJ4Bm0u2kn https://t.co/GkIvo7DCL8",11/22/2021 16:16:45,96,17,320,15,True
1462790689897336838,EricTopol,Our covid times :-) https://t.co/OoKAtJy1Pp,11/22/2021 14:30:52,108,11,828,6,True
1462550485135618048,EricTopol,"The striking booster (3rd dose) effect of mRNA vaccines on neutralizing antibodies vs Delta, and in people with prior Covid who were vaccinated https://t.co/llRgZFehfw https://t.co/zWrdjes424",11/21/2021 22:36:23,368,58,1191,80,True
1462507006552514560,EricTopol,What's the difference between endemic and pandemic? https://t.co/HRDeXWOBfo,11/21/2021 19:43:37,210,70,669,28,True
1462450434698665985,EricTopol,"How could Austria, with a fully vaccinated rate of 64%, have the highest Covid cases per capita in the world?
""Austria’s problem... is the large number of vaccine refuseniks nourished with conspiracy theories then amplified by far-right political parties.""
https://t.co/WCWxiePi9k https://t.co/1qDShMls3h",11/21/2021 15:58:49,688,148,2028,133,True
