tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1431277827278606339,JohnsHopkinsSPH,"This week on @PublicHealthPod, @SDesmon and @DrJoshS are teaming up to talk to experts about multiple aspects of #COVID19 vaccine mandates.

Listen to today’s episode with @BermanInstitute's Nancy Kass to learn more about ethical considerations.",08/27/2021 15:30:00,6,0,7,1,False
1431271866509971460,JohnsHopkinsSPH,"As of August 23, 2021, Pfizer-BioNTech's #COVID19 vaccine has full @US_FDA approval.

FDA previously granted emergency use authorization (EUA) for individuals ages 16+ in December 2020, and later expanded that EUA to include ages 12-15.

So what’s changed? https://t.co/pv0reyhdQZ https://t.co/w8sn5kB7Pz",08/27/2021 15:06:19,31,7,53,2,True
1431258958182879239,JohnsHopkinsSPH,"RT @JohnsHopkins: “I think the major concerns [over COVID-19 boosters] have been, one, will it distract from our main goal of vaccinating t…",08/27/2021 14:15:01,24,0,0,0,False
1431232527964987397,JohnsHopkinsSPH,"Today, @SDesmon and @DrJoshS look through the ethical lens with Nancy Kass, a leading bioethicist with @JohnsHopkins @BermanInstitute.

They discuss #COVID19 vaccine mandates.

Listen now!",08/27/2021 12:30:00,8,0,5,0,False
1430607179220930561,JohnsHopkinsSPH,"""In 2020, during the pandemic’s first year, suicides among white residents [of Illinois] decreased compared with previous years, while they increased among Black residents, according to state data. But this is not a local problem."" https://t.co/cFU3jdecvy",08/25/2021 19:05:05,4,0,10,1,False
1430561881891254272,JohnsHopkinsSPH,"""I have no safety concerns about a booster shot. But this remains a pandemic of the unvaccinated. That's what is fueling this surge,"" said @IVACtweets's William Moss.

""Getting more people vaccinated should be our No. 1, 2, and 3 priorities."" https://t.co/abvBmRPxud",08/25/2021 16:05:05,7,0,19,0,False
1430549296907235335,JohnsHopkinsSPH,"For pandemic-weary Americans who got their #COVID19 shot at the first opportunity, vaccine hesitancy can be difficult to understand.

But for social and behavioral scientist @Rupali_Limaye, the reasons are clear, and it boils down to one word: Trust. https://t.co/BXM0ywVc90",08/25/2021 15:15:05,21,5,22,3,False
1430546724766900225,JohnsHopkinsSPH,RT @polsiewski: More good info from @JHSPH_CHS All schools can reduce risk of COVID transmission by putting HEPA in classrooms!  Please sha…,08/25/2021 15:04:52,22,0,0,0,False
1430539198184910854,JohnsHopkinsSPH,"ICYMI: @JHSPH_CHS has recommendations for improving air in schools to help reduce #COVID19 transmission.

Ask your child's school if they've installed clean air upgrades.

For more information, visit: https://t.co/SnzrIURRa1 https://t.co/Vu0Xk4eIFy",08/25/2021 14:34:57,33,14,39,11,True
1430538122576629761,JohnsHopkinsSPH,"Influenza is a significant burden on the population, but COVID-19 has had a vastly larger effect, as @JohnsHopkinsMMI's @AndrewPekosz explained. https://t.co/DuN2NjmUyo",08/25/2021 14:30:41,11,0,18,3,False
1430534143532699651,JohnsHopkinsSPH,"""A year ago when the Phase 3 trials for these vaccines were first underway, the world would have been ecstatic at the prospect of vaccines that prevented severe #COVID19 infections in most vaccinated people..."" https://t.co/bYjQso4Len",08/25/2021 14:14:52,4,1,13,1,False
1430526549741117441,JohnsHopkinsSPH,"RT @covidlongstudy: Did you have COVID-19? 

Participate in this one-time, 10-15 minute survey.

https://t.co/SQB5UTaj3B https://t.co/xEq1T…",08/25/2021 13:44:42,47,0,0,0,False
1430525938186416128,JohnsHopkinsSPH,RT @sabraklein1998: Dr. Anna Durbin @JHUCIR @JohnsHopkinsSPH  provides needed perspective. #COVID19 vaccines are excellent at doing what th…,08/25/2021 13:42:16,16,0,0,0,False
1430507753223737350,JohnsHopkinsSPH,"What goes into the decision to mandate a vaccine?

Today, @DrJoshS and @SDesmon continue the conversation on #COVID19 vaccine mandates by speaking to Dr. Lisa Maragakis, the senior director of infection prevention at @HopkinsMedicine.

Listen now!",08/25/2021 12:30:00,5,0,9,2,False
1430156203754233857,JohnsHopkinsSPH,"Parents are facing hard decisions about in-person schooling. HEPA filtration helps reduce #COVID19 spread in the classroom.

Ask your child's school how they've improved air quality and reduced risk. Schools can use #AmericanRescuePlan funds to cover costs https://t.co/SnzrIV9syB https://t.co/N5reEz3fOt",08/24/2021 13:13:04,274,29,418,75,True
1429857238647255044,JohnsHopkinsSPH,Pregnant and recently pregnant people are at an increased risk for severe #COVID19 when compared with non-pregnant people. But getting an mRNA COVID-19 vaccine during pregnancy reduces these risks—and may also provide some protection for breastfed babies.  https://t.co/gC4pU61wqD,08/23/2021 17:25:05,28,1,60,0,False
1429808166594830336,JohnsHopkinsSPH,"""COVID and COVID vaccination status should not weigh at all into people’s decision to breastfeed,"" says @JohnsHopkinsIH professor Ruth Karron. https://t.co/gC4pU61wqD",08/23/2021 14:10:06,10,0,19,0,False
1429800875145539590,JohnsHopkinsSPH,"RT @US_FDA: Today, FDA approved the first COVID-19 vaccine for the prevention of #COVID19 disease in individuals 16 years of age and older.…",08/23/2021 13:41:07,53812,0,0,0,False
1429786013937946632,JohnsHopkinsSPH,"RT @SapnaKmd: You can’t assume everyone in your circle is vaccinated against #COVID19.

This is a great article &amp; infographics from @JohnsH…",08/23/2021 12:42:04,41,0,0,0,False
1429421862744887301,JohnsHopkinsSPH,"""There are considerably more males than females who've been hospitalized and have died from COVID-19, especially prior to large-scale rollout of the vaccines,"" explains @JohnsHopkinsMMI professor @SabraKlein1998. https://t.co/ljFzGU1Eyd",08/22/2021 12:35:04,18,1,15,1,False
1429059474875162624,JohnsHopkinsSPH,"Despite the increase in testing, @GGronvall said not all cases are being detected.

“We are probably undercounting by a greater amount than at other parts of the pandemic, especially when people were more frequently using the mass testing sites” https://t.co/g2BXJbWirk",08/21/2021 12:35:04,11,0,10,0,False
1428799951782428672,JohnsHopkinsSPH,RT @AmeshAA: In this @PublicHealthPod interview I answer various questions about #COVID19 https://t.co/QuVQ7vi2Yr,08/20/2021 19:23:48,7,0,0,0,False
1428741111086927877,JohnsHopkinsSPH,"“Do masks get less effective depending on how long they’re worn?”

@AmeshAA, a senior scholar with @JHSPH_CHS answers audience questions about #COVID19.

Listen now!",08/20/2021 15:30:00,6,0,3,0,False
1428708413878542336,JohnsHopkinsSPH,"""Try thinking about precautions in non-pandemic terms, says @Skirkell. Every day, people follow safety rules that might not be personally necessary for them, but that also aren’t onerous enough to be harmful..."" https://t.co/d0NAb6Nnxf",08/20/2021 13:20:04,9,0,15,1,False
1428695814721839116,JohnsHopkinsSPH,"On today’s @PublicHealthPod, @AmeshAA answers your questions about getting the #COVID19 vaccine.

Listen to today’s episode to learn more.",08/20/2021 12:30:00,5,0,5,0,False
1428405168253636610,JohnsHopkinsSPH,"""The eventuality of endemic COVID-19 does not mean we should drop all precautions. The more we can flatten the curve now, the less hospitals will become overwhelmed and the more time we buy to vaccinate the unvaccinated, including children."" https://t.co/QakH76WQSk",08/19/2021 17:15:05,9,0,13,0,False
1428398212998516738,JohnsHopkinsSPH,RT @drJoshS: If this graph showing the rapid rise of child hospitalizations from COVID catches your eye ... 1/2 https://t.co/8Si58wvFT2,08/19/2021 16:47:26,74,0,0,0,True
1428398162000052227,JohnsHopkinsSPH,"RT @PublicHealthPod: Will the rising number of children sick with #COVID19 in Florida change the state's response to the pandemic?

Dr. Jos…",08/19/2021 16:47:14,3,0,0,0,False
1428378726048444422,JohnsHopkinsSPH,"There are more children sick with #COVID19 in Florida today than ever before. Will this motivate the state to change its response to the pandemic?

ED physician and chief medical officer of Johns Hopkins @AllChildrens Dr. Joseph Perno shares his thoughts.",08/19/2021 15:30:00,144,14,192,22,False
1428348526166102024,JohnsHopkinsSPH,"Emergency department physician and @AllChildrens chief medical officer Dr. Joseph Perno joins @PublicHealthPod to talk about Florida's rising number of children sick with #COVID19.

🎧 Listen now",08/19/2021 13:30:00,10,5,14,0,False
1428065969440657414,JohnsHopkinsSPH,"""Booster shots are going to help us with severe disease. We control a pandemic by getting more of the population vaccinated,"" said @AndrewPekosz. https://t.co/3SouTSLkmD",08/18/2021 18:47:13,10,0,19,0,False
1428060994824142853,JohnsHopkinsSPH,RT @JHSPH_CHS: Senior Scholar @ggronvall on when parents could use at-home #COVID19 tests this fall: when concerned that their child is sic…,08/18/2021 18:27:27,11,0,0,0,False
1427996220568580101,JohnsHopkinsSPH,"""The overall message from their analysis of state-by-state U.S. data is this: Even moderate restrictions on the size of gatherings, and some level of mask requirements can help help slow a surge of COVID-19 cases, if implemented at the right time."" https://t.co/ubliQuTB6G",08/18/2021 14:10:04,15,3,22,1,False
1427983638562492426,JohnsHopkinsSPH,The @JohnsHopkins Coronavirus Resource Center this week published a new graphic visualization and analysis detailing the troubling trend of U.S. states eliminating daily reporting of COVID-19 data. https://t.co/rgaDFXWGHm,08/18/2021 13:20:04,11,0,13,0,False
1427724329563873283,JohnsHopkinsSPH,"RT @JenniferNuzzo: In the midst of a surge, states should be reporting #covid19 cases each day so that we can judge changes in microtrends,…",08/17/2021 20:09:40,32,0,0,0,False
1427708072743550985,JohnsHopkinsSPH,"“These findings underscore the wide variation in COVID-19 care across American health systems,” says study lead author and @JohnsHopkinsEPI faculty @MehtaHemal. https://t.co/6rh6a6zcf4",08/17/2021 19:05:04,10,0,9,1,False
1427445447157760006,JohnsHopkinsSPH,"RT @sdesmon: We are about to send our kids back to school in a moment where #COVID19 cases, in some places, have hit record highs.

@KeriNA…",08/17/2021 01:41:29,10,0,0,0,False
