tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1475582568409939969,MackayIM,@MikeDeeeeeee @Oh_come_on_1 @DrTammraWarby @coronawarnapp That's if a sample can go straight onto it and there's no sample queue. Some PCR tests are faster but very low throughout. Antigen test are done in minutes but will miss early infection. Which is when detection can really matter.,12/27/2021 21:41:13,0,1,0,0,False
1475436270650228738,MackayIM,@Melinda05548325 @CJCross91 @saltysplace @KoparaFallsKid =the whole pandemic,12/27/2021 11:59:53,0,2,1,0,False
1475368812530704387,MackayIM,"RT @ResourcefulHDR: @Scottludlam And the gift that keeps on giving ... Long Covid. 
Ask anyone with a chronic post-viral condition. 
Resear…",12/27/2021 07:31:50,41,0,0,0,False
1475207098057179138,MackayIM,"RT @EricTopol: Denmark's new cases reach &gt;200/100,000, a level rarely (if ever) seen during the pandemic, Omicron impact. Recall Denmark te…",12/26/2021 20:49:14,399,0,0,0,False
1475096352333783042,MackayIM,COVID-19 Omicron variant's spread through Queensland prompts health experts to go beyond mask rules to protect themselves https://t.co/lN14EbG4ph via @ABCaustralia,12/26/2021 13:29:11,7,0,25,0,False
1474956120582078464,MackayIM,"@7Scott77 The UK sitting on ~700 *deaths* a week. Not a spike but 700 related to COVID-19; what were weekly deaths pre pandemic? 
67 mill vs 25 mill popn (2.7x). 7d av deaths in Aus is 7 atm, 116 in UK (6x,  adjusted for popn) .",12/26/2021 04:11:57,0,2,4,0,False
1474931284266811392,MackayIM,@RidleyDM It is just the pandemic because none of this would be happening without  it,12/26/2021 02:33:15,1,4,2,0,False
1474894779079028738,MackayIM,"Laboratory workers in Qld getting recognition for their work throughout this pandemic.
From the location of one of those labs. 😉",12/26/2021 00:08:12,3,7,75,0,False
1474892773392195586,MackayIM,Checkout the QLD COVID update today.,12/26/2021 00:00:14,4,5,33,0,False
1474872156295028736,MackayIM,"@jeffm1981 I'm understating this. Australia has protected a ton of life to this point, through mandates, restrictions and border closures to buy the time needed to get us well vaccinated. The reason for that wasn't government overreach. It was the *pandemic*. But people also act to be safe",12/25/2021 22:38:18,2,1,8,0,False
1474853562731491328,MackayIM,"-It's not just mandates that disrupt life during a pandemic. It's the pandemic.
""Omicron COVID outbreak slays the festive season, as venues shutdown and staff go without pay""
https://t.co/k65H7ouKHe",12/25/2021 21:24:25,28,7,112,2,False
