tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1254845830894219275,SueDHellmann,Good news in the race for a vaccine.  #COVID19 https://t.co/4c4iIGGo3v,04/27/2020 18:52:14,10,2,26,1,False
1254805907390619648,SueDHellmann,Kudos to ⁦@Regeneron⁩ for doing a proper study- trial to treat cytokines storm stopped in “serious” patients given worse outcome. Closely watched arthritis drug disappoints as a Covid-19 treatment - STAT https://t.co/MMXssXCZ8l,04/27/2020 16:13:36,8,2,26,3,False
1254500621840875520,SueDHellmann,Massive shift to #COVID19 for the world’s largest private philanthropy ($40B endowment/$5B annual spend). Gates Foundation will commit 'total attention' to coronavirus pandemic | TheHill https://t.co/j2VaxWwB4n,04/26/2020 20:00:30,207,32,792,26,False
1254187539696463873,SueDHellmann,"So much loss- esp. moved by this line: “Mr. Quirumbay wasn’t just another 60-year-old who succumbed to a pandemic; he was one of the many excellent Americans whose spirit and labor make this country possible, even — or particularly — in times of crisis.”  https://t.co/cH9qopB3KM",04/25/2020 23:16:25,5,2,28,2,False
1253710377524662273,SueDHellmann,"While we debate testing, tracking, treatment, and how to get more folks back to work; it’s worth a pause to reflect on the tragedy of 50,000 American deaths from #coronavirus &amp; the loss for their family and friends.  #FridayFeeling",04/24/2020 15:40:21,7,2,25,0,False
1253322221365288963,SueDHellmann,"(Unsurprisingly) I agree! Bill Gates: Here are the innovations we need to reopen the economy. “With the right tools in hand, &amp; smart implementation, we will eventually be able to declare an end to this pandemic &amp; turn our attention to ... the next one.” https://t.co/OgWf6Pe1Rn",04/23/2020 13:57:57,134,21,366,7,False
1251573190066704384,SueDHellmann,"An unsparing look at what comes next. “If we underestimate the virus, it will find us.“ #COVID19  The Coronavirus in America: The Year Ahead https://t.co/BcSX4KWi0H",04/18/2020 18:07:56,3,0,15,0,False
1251206457271267328,SueDHellmann,"“Covid or no Covid, we are still here to care for you.“ The Untold Toll — The Pandemic’s Effects on Patients without Covid-19 | NEJM https://t.co/DRdbt4Wm33",04/17/2020 17:50:40,4,1,15,0,False
1250892595925889024,SueDHellmann,"Lots of caveats, but glad to see hopeful signs that remdesivir helps patients with #COVID19 https://t.co/istWr3M0Cg",04/16/2020 21:03:29,3,3,19,0,False
1250138436297621504,SueDHellmann,Abandoning the question When do we go back to normal?  Much food for thought from @edyong209 Our Pandemic Summer - The Atlantic https://t.co/lrnwkpgpkE,04/14/2020 19:06:44,8,2,19,1,False
1249712083400134657,SueDHellmann,How do we move from social distancing prior to #COVID19 vaccine? Critical question: Who Is Immune to the Coronavirus? https://t.co/9iX8FQyvVL,04/13/2020 14:52:33,6,0,19,1,False
1247550608350969857,SueDHellmann,"RT @jeancase: ICYMI - informed and thoughtful perspectives on Preparing for the Next Pandemic from an extraordinary leader, Dr. @SueDHellma…",04/07/2020 15:43:38,5,0,0,0,False
1247549539176734725,SueDHellmann,"‘Smart Quarantine’ proven public health approach to pandemics.
*test widely
*isolate the infected
*trace the contacts of those infected 
*quarantine appropriately 
https://t.co/tYFG3LZcc5",04/07/2020 15:39:23,4,0,12,0,False
1247207034199531530,SueDHellmann,"You cannot control what you cannot measure. #COVID-19
via @NYTOpinion https://t.co/fbkoMfPCgh",04/06/2020 16:58:23,12,0,39,1,False
1246154504170438656,SueDHellmann,Ending the week sad about terrible suffering - so I took a shot at how we can do better next time. Preparing for the Next Pandemic - WSJ  #COVID  https://t.co/zTbGJK0BWz,04/03/2020 19:16:00,94,20,263,13,False
1245760481635135489,SueDHellmann,"Useful review of testing for #COVID19 antibodies- key to understanding natural history of novel coronavirus infection, but tricky, challenging to validate, and no tests yet approved by FDA.  https://t.co/B4hJYS0jdD",04/02/2020 17:10:18,7,1,17,0,False
1245452488192360449,SueDHellmann,Social distancing for now- then what?  Thoughtful discussion of how to think about choices &amp; their implications as we “navigate our way to dry land”.  #COVIDー19 https://t.co/q6aRqHHW6y,04/01/2020 20:46:27,6,2,20,0,False
