tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1473711625547005958,VirusWhisperer,"RT @AdamJKucharski: Lots of journalists have been doing important work providing insightful, thought-provoking COVID coverage over past cou…",12/22/2021 17:46:46,40,0,0,0,False
1473708047478534150,VirusWhisperer,#Omicron #coronavirus Coronavirus (COVID-19) Update: FDA Authoriz'es First Oral Antiviral for Treatment of COVID-19 https://t.co/1mlNi2CQRM | Now how to ramp this out to help protect &amp;treat the most at risk.,12/22/2021 17:32:33,2,0,9,0,False
1472281868955443208,VirusWhisperer,RT @Bob_Wachter: Anecdote showing how immune-escape-y Omicron is: spoke to NYC pal. Had Covid last yr &amp; has had 3 mRNAs. Went to holiday pa…,12/18/2021 19:05:25,969,0,0,0,False
1467897397434937344,VirusWhisperer,RT @Lakdawala_Lab: Got COVID-19 vaccine questions? Join us tonight for a FREE virtual vaccine townhall. @KariDebbink and I will be there to…,12/06/2021 16:43:06,11,0,0,0,False
1467896237588299776,VirusWhisperer,RT @AmerSocVirol: Got questions about COVID-19 vaccines? Register for a free Vaccine town hall at https://t.co/19KJFkVlt4 and speak to expe…,12/06/2021 16:38:29,9,0,0,0,False
1467647917041217537,VirusWhisperer,"RT @KariDebbink: @Theresa_Chapple If anyone has questions about COVID vaccines and pregnancy, @andrewpekosz @sabraklein1998, and @IrinaBurd…",12/06/2021 00:11:45,7,0,0,0,False
1466831637057093641,VirusWhisperer,RT @Lakdawala_Lab: Join me and @KariDebbink on Dec 6th. We are happy to answer your questions about #CovidVaccine #asvTownhall,12/03/2021 18:08:09,7,0,0,0,False
1466831588596068356,VirusWhisperer,RT @AmerSocVirol: Concerned about COVID-19 vaccines? Want to learn more about them? Register for FREE vaccine town hall and connect with vi…,12/03/2021 18:07:57,13,0,0,0,False
1466569383283609600,VirusWhisperer,"(5/5) #Vaccination is still the best way to control this pandemic, we are NOT going to treat our way out of this. HOWEVER, many patients do not develop high titer Abs and are at high risk. If approved, #antivirals complement, they do not replace vaccination &amp; 😷.",12/03/2021 00:46:03,14,7,128,1,False
1466543750000177153,VirusWhisperer,"#COVID19 #Omicron New ORAL anti-SARS-CoV-2 drug by Richard Plemper &amp; colleagues! A chain terminator, NOT a mutagen. AND resistance is futile! 👍👏 4′-Fluorouridine is an oral antiviral that blocks respiratory syncytial virus and SARS-CoV-2 replication https://t.co/9fQDUv9adN",12/02/2021 23:04:11,224,19,708,59,False
1466409316823584771,VirusWhisperer,"Singapore detects first 2 imported Covid-19 cases who test preliminarily positive for Omicron.  Both patients tested negative on Nov 29 before leaving Johannesburg (one was transiting from Mozambique), but positive SGTF upon arrival in S’pore (Dec 1).  https://t.co/JhXUmcltYD",12/02/2021 14:10:00,3,1,5,0,False
1466060946896560132,VirusWhisperer,"RT @macroliter: #Molnupiravir is an antiviral that works by hypermutating the coronavirus genome, forcing infections to produce mostly “dea…",12/01/2021 15:05:42,18,0,0,0,False
