tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1442616996172992515,amymaxmen,"Is there any chance of Covid testing requirements for interstate plane travel? 

Strange to only require it for travelers coming to the US from abroad, from countries with lower Covid rates. https://t.co/RYthE6qbka",09/27/2021 22:27:49,5,6,66,2,True
1442584559829221376,amymaxmen,"RT @luckytran: The fundamental choice we are facing with this pandemic:

Restructure society to be more equitable and just

or

Simply acce…",09/27/2021 20:18:55,146,0,0,0,False
1442582811685240837,amymaxmen,"RT @JuliaRaifman: This month, a record number of US children died of COVID-19. And the month is not over.

Children rely on adults and poli…",09/27/2021 20:11:58,516,0,0,0,False
1442580960793432071,amymaxmen,"We are watching nationalism play out to the extreme in this pandemic.

Low &amp; middle-income countries can't rely on Covid-vaccine donations. Experts agree that they need to make their own. 

I cover the options on our latest #Coronapod @NaturePodcast 👇🏽https://t.co/mfMpyIMJF0",09/27/2021 20:04:37,18,3,32,3,False
1442540825984995329,amymaxmen,"RT @celinegounder: THE strongest predictor of COVID vaccination status?

Partisan affiliation

As Americans, we clearly do not believe that…",09/27/2021 17:25:08,92,0,0,0,False
1442507674101288961,amymaxmen,"@mattjhodgkinson @metasj @ElsevierConnect @aristsatsakis @ivanoransky @DalmeetS @Richvn Shocked to see that two of these authors are big into ""studies"" finding that 5G fueled the pandemic 😐 https://t.co/CZICULXELH &amp; https://t.co/e3kEGLUi1T etc https://t.co/M1mbvxzFzI",09/27/2021 15:13:24,0,1,8,1,True
1442252202785923073,amymaxmen,"Biden admin defends shameful deportations by pointing to a ""public health"" Covid policy, Title 42.

30 public health experts send a later saying that Title 42 is “scientifically baseless and politically motivated”. 

ht @DoctorYasmin 
https://t.co/BoYEO06PnN",09/26/2021 22:18:15,13,5,36,0,False
1442217172567089154,amymaxmen,"RT @AnaCabrera: NEW: Pfizer is ready to ask the FDA for authorization to use its Covid-19 vaccine in children 5-11 “within days,” Pfizer CE…",09/26/2021 19:59:03,4914,0,0,0,False
1441525848721354757,amymaxmen,"Lovely Friday surprise to see a notable mention of mine &amp; @jefftollef story on how 20 years of pandemic war-games &amp; prepping failed to account for ""the Trump effect.""

https://t.co/7pL6SzLvNc

Can't wait to pick up my copy. So much excellent work selected. 🙏🏽 https://t.co/FxM9HzCnod",09/24/2021 22:11:59,1,0,6,0,False
1441523469129158660,amymaxmen,"@_Eric_Reinhart It's not exactly the same, but a lot of science journalists covering Covid are feeling this exhaustion and frustration too.",09/24/2021 22:02:31,0,1,5,0,False
1441447592269864962,amymaxmen,"Myanmar is in crisis. More than 1120 killed by the military since the coup, &gt;8000 arrests &amp; many people dying in custody. Economy is in free-fall. 

This on top of the pandemic. 💔 https://t.co/1pIx9PWrWH",09/24/2021 17:01:01,7,0,15,1,False
1441269767810125829,amymaxmen,"@WSeparates I did. Ouch. He is 100% wrong. A prior case of the flu doesn't protect you against Covid. In(flu)enza virus is totally different from coronavirus. This so-called ""Nuclear Cardiologist, Juris Prudence Doctor of Law, Researcher, Inventor, Author"" isn't to be trusted.",09/24/2021 05:14:24,0,1,1,0,False
1441114116060372999,amymaxmen,RT @HelenBranswell: 22. #ACIP member Keipp Talbot says boosters aren't going to wind down the pandemic. Hospitals are full of people with #…,09/23/2021 18:55:54,20,0,0,0,False
1440800694378713089,amymaxmen,"""Moderna &amp; Pfizer have a direct financial interest in keeping their technology to themselves &amp; guarding a competitive advantage."" 

Their Covid vaccines are on track to bring in &gt;$53 billion this year &amp; they have other mRNA vaccines in development.
https://t.co/Fxa2ZcqXAq",09/22/2021 22:10:28,13,6,29,0,False
1440749238153932801,amymaxmen,"@ChuckBaggett Yes, they are. It's not impossible to reverse-engineer drugs and vaccines, but that usually takes several years. If leaders want to end the pandemic before many more people die, economies crash &amp; new variants arise, developers need to help transfer the technology.",09/22/2021 18:46:00,0,0,3,0,False
1440733977728278536,amymaxmen,"RT @healthcaroline: Great interview with @Chikwe_I, the leader of WHO's  new pandemic hub, by @amymaxmen. I am excited to see how he and hi…",09/22/2021 17:45:22,3,0,0,0,False
1440447121669320717,amymaxmen,"Florida's new surgeon general doesn't ""challenge the scientific consensus"". He pushes policies that kill.

In the past month:
9168 Covid deaths in Florida
2849 Covid deaths in California
873 Covid deaths in NY

We have the data. Stop pretending we don't. https://t.co/bIFnZ7ckjx",09/21/2021 22:45:30,38,10,85,5,False
1440441009150726144,amymaxmen,"The first director of the WHO's new pandemic intelligence hub is someone you should know. 

My Q&amp;A with @Chikwe_I about the hub, data-sharing and leaving/staying in #Nigeria ⭐️
https://t.co/bjXZMsGvao",09/21/2021 22:21:13,199,10,403,22,False
1440030724510285824,amymaxmen,"Covid relief funds being used by police departments for bonuses, all-terrain vehicles and drones. 😐 https://t.co/bdQFFhBhpp",09/20/2021 19:10:53,160,10,277,27,False
1439998082213548038,amymaxmen,"Protest at Biden's vaccine summit today, calling on the president to allow other manufacturers to make Covid vaccines &amp; ""end the false scarcity"" 
@actupny #PeoplesVaccine https://t.co/2PACHvLVn6

I wrote about this fight @Nature https://t.co/wVOe1t8sOh",09/20/2021 17:01:11,12,1,30,0,False
1439996261042585610,amymaxmen,"RT @TomBollyky: Five months after halting shipments, India plans to allow COVID vaccine exports to resume next month

Before halting export…",09/20/2021 16:53:57,7,0,0,0,False
1439957682497093635,amymaxmen,"@BrinkChancellor Quick lesson in spotting garbage dressed as science: The rate has no time period. Is this number of deaths per day ... every day forever? And read the small print: Lower corner says of March 2020, before this was even called a pandemic.",09/20/2021 14:20:39,0,0,0,0,False
1439701679662768132,amymaxmen,"4.7 million Covid deaths in less than 2 years.  

When people argue against masks or vaccines by saying that Covid isn't all that dangerous please ask them how many deaths it would take to change their minds.",09/19/2021 21:23:23,619,108,2320,22,False
1439669009738186755,amymaxmen,"The utter lack of Covid vaccines in much of the world illustrates the shortcomings of philanthropy. 

Biden will promote donations at the vaccine summit this week. The open question is whether he'll help lower income countries provide for themselves.

More👇🏽 https://t.co/QCQ9yv6CDj",09/19/2021 19:13:34,20,5,56,1,False
