tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1352377572936609792,drsanjaygupta,"Critically important comment from Dr. Fauci at the first COVID briefing since November 19th.
“If you don’t know the answer, don’t guess. Just say you don’t know the answer.” — Dr. Anthony Fauci https://t.co/VffAn8uEoL",01/21/2021 22:08:34,326,87,3197,46,True
1352370909814927363,drsanjaygupta,"It’s hard to believe it has been a year since the announcement of the first patient with Covid-19 in the US. This novel virus changed every aspect of our lives. What did we learn? What lies on the other side? 
https://t.co/7g6Nw92lQP",01/21/2021 21:42:05,71,19,370,3,False
1352238715092029440,drsanjaygupta,RT @NewDay: The CDC confirmed the first coronavirus case in the US exactly one year ago. @drsanjaygupta looks back at how the country faile…,01/21/2021 12:56:47,431,0,0,0,False
1351879927029784577,drsanjaygupta,"RT @michaelmina_lab: I had a chance to speak with @CNN’s Sanjay Gupta @drsanjaygupta on #COVID19 Rapid Tests and Vaccines. 

I hope it’s in…",01/20/2021 13:11:05,96,0,0,0,False
1351665078077190155,drsanjaygupta,"Memorials matter. There has been no center of grief during this pandemic. The virus has kept us apart, meaning so much of our unimaginable loss has taken place behind closed doors. We haven’t been able share our grief. https://t.co/Ed8GalJc94",01/19/2021 22:57:21,5495,405,30661,544,True
1351659790418718729,drsanjaygupta,"RT @DstnyRichardsTV: .@drsanjaygupta made a good point on CNN just now. There really hasn’t been a center of grief about covid-19. 

Not li…",01/19/2021 22:36:21,93,0,0,0,False
1351382255290216448,drsanjaygupta,RT @NAMICommunicate: Listen to @CNN Chief Medical Correspondent @drsanjaygupta discuss the mental health impact COVID-19 is having on healt…,01/19/2021 04:13:31,59,0,0,0,False
1349873923165478920,drsanjaygupta,"So, why 1.9 trillion? Roughly 400 billion for combat Covid-19 (vaccines, testing), around $1 trillion for relief to families (including stimulus payments) and approx. $440 billion to help businesses (12/12)",01/15/2021 00:19:57,23,13,163,1,False
1349873915510874112,drsanjaygupta,"4. Provide additional support to vulnerable populations in congregate settings - they are proposing funding to “deploy strike teams to long-term care facilities experiencing Covid-19 outbreaks.” They also want to offer support to prisons. (7/12)
https://t.co/WaraYnLku5",01/15/2021 00:19:55,5,2,59,0,False
1349873906904137728,drsanjaygupta,"President-elect @JoeBiden is about to present his $1.9 trillion #COVID19 relief plan. Let’s look at some of the key points: (1/12)
https://t.co/attUXqZmyH",01/15/2021 00:19:53,86,22,414,7,False
1348283712434302978,drsanjaygupta,"Things that have kept me sane through this pandemic: spontaneous dance parties with my girls and candid conversations with friends, like @daxshepard . Honored to be the first three-peater on @ArmchairExpPod ! Hopefully it helps your brain #KeepSharp 
https://t.co/rOaeNhigUi https://t.co/eoXczktbt6",01/10/2021 15:01:01,28,21,562,4,True
1348063849392599048,drsanjaygupta,RT @angie_rasmussen: I had an amazing conversation with the indefatigable @drsanjaygupta for his great Coronavirus: Fact or Fiction podcast…,01/10/2021 00:27:22,41,0,0,0,False
1347540366329851905,drsanjaygupta,"RT @DavidClinchNews: More than 4000 Americans died of #COVID19 yesterday, and a similar number of our fellow citizens will probably die EVE…",01/08/2021 13:47:14,40,0,0,0,False
1346577514907500544,drsanjaygupta,"RT @brianstelter: &gt;&gt; @DrSanjayGupta's book ""Keep Sharp: Build a Better Brain at Any Age"" — which he wrote before the pandemic — is out toda…",01/05/2021 22:01:12,22,0,0,0,False
