tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1408468433159831556,megtirrell,"US is ""immediately pausing all distribution of bamlanivimab &amp; etesevimab,"" Eli Lilly's monoclonal antibody drugs for #covid19 ""on a national basis until further notice"" bc they're not active against B.1.351 &amp; P.1 (beta &amp; gamma) variants, w 11%+ frequencies https://t.co/up9BvEXPlr",06/25/2021 16:53:37,28,11,60,5,False
1407858126825656321,megtirrell,RT @thenewsoncnbc: A CDC advisory panel have confirmed that there is a likely link between covid vaccines and a rare heart condition that c…,06/24/2021 00:28:28,23,0,0,0,False
1407778022648864774,megtirrell,"Also, respect to @boucherhayes for moderating a 2-hr long panel the day he received his second mRNA #covid19 shot",06/23/2021 19:10:10,0,3,5,0,False
1407738150387077128,megtirrell,"RT @HelenBranswell: 1. The impact of #Covid19 vaccines on the US epidemic. This graphic, from today's #ACIP meeting, speaks volumes. 
I wil…",06/23/2021 16:31:44,248,0,0,0,False
1407706129610772480,megtirrell,RT @CNBC: Here’s what to expect from today’s important CDC Covid vaccine meeting. @megtirrell has the details. https://t.co/lFeb0D5ts0 http…,06/23/2021 14:24:29,7,0,0,0,False
1407680930270097417,megtirrell,"RT @PeterHotez: Will talk about myocarditis re: today's ACIP. Two numbers out there: 
1. Myocarditis from COVID-19 vaccination of young peo…",06/23/2021 12:44:21,640,0,0,0,False
1407422495511257093,megtirrell,"Strive Masiyiwa, African Union Special Envoy on #covid19 vaccines, said @ #MIHealthSummit just now the US &amp; other countries' actions during pandemic amounted not just to moral failure but deliberate seizing of resources by rich countries. ""We have no access. We have no vaccine."" https://t.co/jcBAzdXbmZ",06/22/2021 19:37:26,3,5,18,1,False
1407380966482526210,megtirrell,"We seem to be following the UK’s trend with the delta #covid19 variant, Dr Fauci says https://t.co/WeqVECfWao",06/22/2021 16:52:24,34,8,47,5,True
1407380721468051461,megtirrell,"We have followed the UK in so many ways when it came to the alpha #covid19 variant, Dr Fauci says in WH briefing, warning about what that means for delta variant here https://t.co/yGmebOpSJz",06/22/2021 16:51:26,4,4,22,3,True
1407361676240904193,megtirrell,"RT @kakape: A few days ago Angela Merkel got her second #covid19 shot and she went for mix-n-match:
On 16 April she received a first AstraZ…",06/22/2021 15:35:45,114,0,0,0,False
1407333542581915656,megtirrell,"Here’s how the US is doing on first and second #covid19 vaccine doses, per Evercore ISI: https://t.co/94jMUunPir",06/22/2021 13:43:58,3,0,7,0,True
1407332358710300677,megtirrell,So you're saying there's a chance... if this pandemic ever ends https://t.co/3kNEcaHwoU,06/22/2021 13:39:15,0,4,25,0,False
1407326255477841929,megtirrell,"Europe buys additional 150M doses of Moderna #covid19 vaccine for delivery in 2022, to be used as primary vaccines for children or potentially as boosters, company says: https://t.co/IyB9732Qkw",06/22/2021 13:15:00,1,2,16,0,False
1405848322716409860,megtirrell,"RT @ashishkjha: Important study out of UK

Worth your time

Researchers examined brain MRIs of people before and after they got COVID, matc…",06/18/2021 11:22:14,1669,0,0,0,False
1405265271481192449,megtirrell,"CureVac says its vaccine showed only 47% efficacy against #covid19 in 40K-person trial, citing ""unprecedented context of at least 13 variants circulating within the study population."" https://t.co/etS6PU69Fi",06/16/2021 20:45:23,58,16,119,33,False
1405205753334579203,megtirrell,"During a call with state health officials on #covid19 vaccination rates, @nirav_mainecdc revealed the most popular vaccine incentive w Mainers:

LLBean gift cards",06/16/2021 16:48:53,20,12,123,6,False
1405182243430096906,megtirrell,"There will be enough volume of #covid19 vaccine to protect the world by end of 2022, Pfizer CEO predicts at #CNBCEvolve. Whether that means everyone will be vaccinated by then is another question, he says.",06/16/2021 15:15:28,5,2,29,1,False
1405181623268696069,megtirrell,"Developed countries secured Pfizer's #covid19 vaccine supply in advance; developing countries made plans on other vaccines rather than betting early on Pfizer, CEO says. In second half Pfizer will release 2B doses of #covid19 vaccine. ""That's amazing,"" Bourla says. #CNBCEvolve",06/16/2021 15:13:00,1,1,12,0,False
1405181065380208641,megtirrell,"Pfizer hit 1B manufactured doses of #covid19 vaccine last week, CEO says at #CNBCEvolve. Expects to have them all released by end of month (700M released so far).",06/16/2021 15:10:47,13,8,52,2,False
1405148866974978055,megtirrell,"RT @CNBC: Regeneron's antibody cocktail can reduce the risk of death in hospitalized Covid patients, a study finds. @megtirrell has the det…",06/16/2021 13:02:50,14,0,0,0,False
1405135161864376324,megtirrell,"Moderna says US govt has purchased additional 200M doses of its #covid19 vaccine, 110M doses for delivery in Q4 &amp; 90M Q1 2022. CEO suggests they could be used as primary vaccinations such as for kids, or as boosters: https://t.co/Vmgw1v92QM",06/16/2021 12:08:23,14,2,31,1,False
1405128825256697859,megtirrell,Antibody drugs for #covid19 were underused through the pandemic bc they’re IV (only now getting available as shots) &amp; it was complicated for people just dx’d to get them. But now Regeneron’s has shown it can save lives when given in the hospital to pts w/o their own antibodies. https://t.co/YCp1rkjFeu,06/16/2021 11:43:12,10,6,43,0,False
1404956336442466308,megtirrell,FDA says it’s authorized an additional batch of J&amp;J #covid19 vaccine from Emergent plant https://t.co/S5apvvwf3Y,06/16/2021 00:17:48,6,3,21,1,True
1404460204859834372,megtirrell,RT @SquawkStreet: Novavax announcing its Covid-19 vaccine is 90% effective and that it is planning to file for authorization with the FDA i…,06/14/2021 15:26:21,15,0,0,0,False
1404387053387780099,megtirrell,"Novavax #covid19 vaccine shown in US/Mexico phase 3 study to be 90.4% effective overall, 100% against moderate to severe disease: https://t.co/IDhSlrKZ4q",06/14/2021 10:35:40,37,6,142,4,False
1403368559296790528,megtirrell,"FDA confirms @nytimes reporting that 2 batches of J&amp;J #covid19 vaccine have been cleared from Emergent plant, others found not suitable for use, additional ones under review (doesn’t specify # of doses). Emailed statement: https://t.co/ASRiepC4Bo https://t.co/pT75TsgT4m",06/11/2021 15:08:32,12,2,22,2,True
1403362048055123975,megtirrell,"Yikes: FDA tells J&amp;J to discard 60M doses of #covid19 vaccine made at Emergent plant, allows 10M to be distributed but with warning https://t.co/mNxnZMhNcE https://t.co/cAYCU1AWEr",06/11/2021 14:42:40,61,15,92,21,True
1403009620868751361,megtirrell,Johnson &amp; Johnson said on Thursday the U.S. Food and Drug Administration has extended the shelf life of its single-shot COVID-19 vaccine from three months to four and a half months -- @Reuters,06/10/2021 15:22:14,20,3,92,5,False
