tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1519382310784843776,picardonhealth,"Attente en chirurgie | Un plan de rattrapage « sur deux à trois ans », promet @cdube_sante, par @FannyLevesque   https://t.co/rSPC7ROp8R via @lp_lapresse #COVID19 #qcpoli #cdnhealth",04/27/2022 18:25:46,0,0,1,0,False
1519357370316505089,picardonhealth,"Judge rules @CMOH_Alberta is not protected by cabinet confidentiality in case questioning #COVID19 restrictions, by @BillKaufmannjrn  https://t.co/lYPVUW6osm via @calgaryherald #abpoli",04/27/2022 16:46:40,3,1,8,4,False
1519349092467585025,picardonhealth,"Before Washington’s ‘Nerd Prom,’ Lots of Risk-Benefit Calculation. Dr. Anthony S. Fauci won’t attend the White House Correspondents’ Association Dinner, but President Biden thinks it's worth the risk, by @SherylNYT  https://t.co/WwwwlWFXPY  @nytimes #COVID19 #PandemicJournalism",04/27/2022 16:13:46,3,0,1,0,False
1519325874457358337,picardonhealth,"And now, for something completely different—unpacking the semantics of #COVID19 communications. Are you confused when you hear terms like ""wavelet"" and ""focused protection""? by @charliesmithvcr  https://t.co/Mg4jGC3uJ8 via @georgiastraight #scicomm #RiskCommunication",04/27/2022 14:41:30,1,0,2,0,False
1519325314488410112,picardonhealth,"'A crisis for #homecare': Droves of workers leave for hospitals, nursing homes. #COVID19 has 'wreaked havoc' on home care system, by @liamdevlincasey  https://t.co/gKfzQU96KT via @cbcmarketplace @NeglectedNo #eldercare",04/27/2022 14:39:17,4,1,5,0,False
1519298421831929862,picardonhealth,"RT @tara_kiran: Vaccination continues to be your best protection against serious illness from #COVID19 

How many doses do you need?
2,3,4.…",04/27/2022 12:52:25,39,0,0,0,False
1519296774086791168,picardonhealth,"The U.S.🇺🇸 is finally “out of the pandemic phase,” the country’s top infectious-disease expert said Tuesday, as cases and hospitalizations are notably down and mask😷mandates are all but gone, by @bybryanpietsch https://t.co/coidD9PMSX via @washingtonpost #COVID19",04/27/2022 12:45:52,7,7,8,1,False
1519275542813544448,picardonhealth,"#COVID19 or gastrointestinal illness? Why it's hard to know right now, by @mcquillanator 
https://t.co/DME6cgVT8B via @cbcnews",04/27/2022 11:21:30,11,4,20,0,False
1519268831130173443,picardonhealth,"RT @DrTomFrieden: When I said more than two years ago that Covid could kill 1 million Americans, the possibility seemed hard to imagine. It…",04/27/2022 10:54:50,1213,0,0,0,False
1519123912977747971,picardonhealth,"RT @NeglectedNo: Long-term care is in turmoil. Driven by problems exposed during the #COVID19 pandemic, how to fix #eldercare will be a top…",04/27/2022 01:18:59,6,0,0,0,False
1519012705847361537,picardonhealth,"By February 2022, nearly 60% of Americans had been exposed to the coronavirus, almost double the proportion seen in December 2021, new U.S. CDC data show, by @apoorva_nyc https://t.co/oi3AJJhx8v via @nytimes #COVID19",04/26/2022 17:57:05,13,2,28,2,False
1519000160663126022,picardonhealth,« La donne a vraiment changé avec Omicron » -- Les réinfections sont en hausse. Pendant combien de temps est-on « protégé » ou « immunisé » contre la COVID-19 après une première infection ? par @henriouelvez https://t.co/RKJ62yxf08 via @lp_lapresse,04/26/2022 17:07:14,1,0,3,0,False
1518934916767133696,picardonhealth,".@DeviSridhar, professor of #GlobalHealth and author of the new book ""Preventable,"" on working with politicians and how she handles trolls. Q+A by @iansample https://t.co/JkzXyKl3iu via @guardian #COVID19 #SoMe #scicomm #PandemicJournalism",04/26/2022 12:47:59,5,0,2,0,False
1518925379465007105,picardonhealth,"RT @TheSGEM: There has been some good and poor science communication during #COVID19. 

Here are some tips from expert @Sarah_Mojarad for b…",04/26/2022 12:10:05,3,0,0,0,False
1518912560686370816,picardonhealth,"“If I was vaccinated, I wouldn’t have gotten as sick as I did”-- What an Unvaccinated Police Sergeant Who Nearly Died of #Covid19 Wants You to Know, by @traceytully https://t.co/meAsIp45lY via @nytimes #vaccination",04/26/2022 11:19:09,16,2,35,0,False
1518901579327410176,picardonhealth,"RT @picardonhealth: Reinfections are the latest #COVID19 curveball, but they are no reason to throw in the towel on pandemic measures, by ⁦…",04/26/2022 10:35:30,16,0,0,0,False
1518741889930997760,picardonhealth,RT @epaultaylor: Our efforts to date have left us better protected and better equipped to handle the next #COVID19 curveball – as long as w…,04/26/2022 00:00:58,4,0,0,0,False
1518741471469395978,picardonhealth,"The end game for 'endomicity': Are we there yet with #COVID19? The numbers of Canadians with hybrid immunity — a past infection, along with two or three shots — has skyrocketed, by @sharon_kirkey  https://t.co/9E088j84Kj via @VancouverSun",04/25/2022 23:59:18,0,0,3,0,False
1518737749620281344,picardonhealth,"U.S. Nears One Million #Covid19 Deaths. The pandemic’s overall toll has been concentrated among elders, especially those in nursing homes. Black and Hispanic populations also have experienced high mortality rates.
https://t.co/A2nuJXYxkK via @WSJhealth #GlobalHealth",04/25/2022 23:44:30,7,0,9,1,False
1518731751715184648,picardonhealth,"Post-pandemic health and science: Let's not miss the opportunity to prepare for the next one now, by @StanKutcher @Abe_McGill https://t.co/kEp4Y5uDTM via @TheHillTimes #COVID19 #cdnpoli #cdnhealth",04/25/2022 23:20:40,10,2,17,0,False
1518729250572013571,picardonhealth,The freedom of some not be vaxxed undermines the freedom of everyone else. A new study supports the idea that #vaccination isn’t just a personal decision that should be left entirely to individuals: @TorontoStar editorial https://t.co/dr76PvFeNH #COVID19,04/25/2022 23:10:44,48,43,106,8,False
1518715662562168832,picardonhealth,"Remaining unvaccinated increases risk to the vaccinated, says @UofT #COVID19 study, by @Megan_Ogilvie @maywarren11 @KenyonWallace  https://t.co/YNgTg5071D via @torontostar #vaccination",04/25/2022 22:16:44,14,15,41,0,False
1518686267407486976,picardonhealth,"Reinfections are the latest #COVID19 curveball, but they are no reason to throw in the towel on pandemic measures, by ⁦@picardonhealth⁩ via @GlobeDebate #COVID19 #cdnhealth #vaccination  https://t.co/tSXnp6kHVi https://t.co/ltCVxi2HL4",04/25/2022 20:19:56,16,4,42,6,True
1518607332908969984,picardonhealth,"Mass testing for #COVID19 ordered in Beijing, sparking fears of Shanghai-style lockdown, by ⁦@jgriffiths⁩ via ⁦@globeandmail⁩ #GlobalHealth  https://t.co/Y7DuFFsnkb https://t.co/MyyvoTJAJi",04/25/2022 15:06:17,8,6,16,2,True
1518592559043383303,picardonhealth,"RT @EricTopol: Our covid times :-)
by @MatttDavies https://t.co/R8d3Jhwm2U",04/25/2022 14:07:34,297,0,0,0,True
1518573311759843330,picardonhealth,"Don’t call them anti-vaxxers – that just further erodes people’s trust. There’s been a worrying decline in diphtheria, polio and measles jabs. We should heed the lessons of #Covid19, by @finnegag  https://t.co/EiOx1drpdB via @guardian #antivax #vaccination #scicomm",04/25/2022 12:51:05,11,1,19,0,False
1518561869543272448,picardonhealth,"Unvaccinated disproportionately risk safety of those vaccinated against #COVID19, @CMAJ study shows, by @AndreaWoo  https://t.co/Jb9M25T2Fg via @globeandmail #cdnhealth #vaccination",04/25/2022 12:05:37,229,238,471,38,False
