tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1287732978471391235,profvrr,Apparently @USATODAY listens to #TWiV. Why don't you? https://t.co/3MfPTf8bK2 we are ahead of the national dialogue about #COVID19 and #SARSCoV2 https://t.co/ZS8uXpDwkX,07/27/2020 12:54:01,104,17,346,16,True
1287438473369202688,profvrr,"On the latest #TWiV (you know what that is, don't you?) Daniel Griffin provides #COVID19 clinical report, review of the State Department document on the Wuhan BSL-4 lab, report on infection of tigers and lions in Bronx Zoo, answers to listener questions https://t.co/NehmyAz5cf https://t.co/1XEMvmfKfJ",07/26/2020 17:23:46,55,9,124,10,True
1285224265894301704,profvrr,@gruber As you write often about #COVID19 consider promoting our interviews with Tony Fauci https://t.co/KL4cX1Rb90 and Michael Mina https://t.co/mzgatKFeTc the latter showing how a rapid $1 test will change the landscape of the pandemic,07/20/2020 14:45:17,0,1,3,0,False
1285222829483593731,profvrr,"On the latest #TWiV Daniel Griffin provides a clinical update on #COVID19 then we discuss phase I preliminary results of the #SARSCoV2 mRNA vaccine, factors associated with death in 17 million patients, and answer listener questions https://t.co/OWqHEXwZ2V https://t.co/ty1dDqx4bL",07/20/2020 14:39:35,39,2,108,7,True
1284089922249535500,profvrr,"Dr. Anthony Fauci, Director of NIAID,  joins This Week in Virology #TWiV to discuss #SARSCoV2 transmission, testing, immunity, pathogenesis, vaccines, and preparedness https://t.co/VYBSno06h8 #science #podcast #COVIDー19 https://t.co/12eF5NbOSg",07/17/2020 11:37:49,490,42,1077,90,True
1283741664285200384,profvrr,"A must listen! Michael Mina joins #TWiV to reveal why frequent and rapid #SARSCoV2 testing is more important than accuracy, how a daily $1 rapid test could control the pandemic, and why group testing works https://t.co/8TBLJOffZv https://t.co/tpeACrzdgJ",07/16/2020 12:33:58,145,25,279,97,True
1283391077735686145,profvrr,"Take a very brief break from #COVID19 on the latest #TWiV - Virology Nobel Prizes with Erling Norrby, Part Two https://t.co/WwcrLwBQk3 fascinating insight into the best known #science prizes https://t.co/WL7601wl2Y",07/15/2020 13:20:51,16,2,67,2,True
1282284113395888130,profvrr,"On the latest episode of #TWiV Daniel Griffin provides a clinical update on #COVID19, Viviana Simon @VivianaSimonLab joins to review serological assays developed at Mt. Sinai for #SARSCoV2 infection, tracking outbreak in NYC, and listener questions https://t.co/FdMyvavHXC https://t.co/AcIN438fCL",07/12/2020 12:02:10,65,14,155,13,True
1279738127041671168,profvrr,"Latest episode of the #science #podcast This Week in Virology #TWiV https://t.co/356ijiNwHD Daniel Griffin provides a clinical update on #COVID19 we review #SARS_CoV_2 shedding in children, how to resume school safely, and the need for widespread testing and wearing face masks https://t.co/EuOuv7JrqD",07/05/2020 11:25:20,77,7,186,13,True
1278333160598786048,profvrr,"Paul Stays Home, the free children's book about #COVIDー19 and #SARSCoV2 is now available in nine languages: English, Spanish, French, Hindi, German, Greek, Italian, Korean, Persian https://t.co/LK8Ssct3k7 https://t.co/y3I62jAIGc",07/01/2020 14:22:30,42,4,83,5,True
