tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1276943849999544325,sxbegle,"I don't want to call it a 'bright side,' but will the soaring number of #COVID19 cases in many US states make it easier to detect an efficacy signal in Phase 3 trials of #vaccines?",06/27/2020 18:21:52,2,0,7,0,False
1276113717227393025,sxbegle,"One always needs 2 salt shakers when reading preprints of epi models (1st b/c preprint, 2nd b/c epi model), but this one concludes that #lockdown in #UK saved 6,500 lives that #COVID19 would have otherwise taken. Every one of them counts.  https://t.co/dv9YuwrCUt",06/25/2020 11:23:13,1,0,3,0,False
1275406215800127491,sxbegle,"RT @JasonUkman: &gt;@statnews is rolling out a new, improved version of its Covid-19 tracker today. Now you can look at the rolling average of…",06/23/2020 12:31:52,71,0,0,0,False
1275124479618932736,sxbegle,"When I did a story on using wastewater analysis to detect #COVID19 before cases start showing up 

https://t.co/sYFl40r3kM

. . .  many of you asked for technical details. @WaterResearch just issued best practices: https://t.co/jgOZlViNJs",06/22/2020 17:52:21,19,0,38,1,False
1273951400595206144,sxbegle,"You may think the last thing you need is another #COVID19 dashboard, but this one from @ColumbiaMSPH is excellent. I recommend clicking on 'maps' and 'demographics,' then the states you're interested in: https://t.co/krV1ru3Okf",06/19/2020 12:10:57,6,1,13,0,False
1273631673939304450,sxbegle,"RT @rickberke: Trump said #COVID19 is ""dying out.'' He should read this piece by @DrewQJoseph based on @statnews data tracker  about ""the l…",06/18/2020 15:00:28,18,0,0,0,False
1273577692147965955,sxbegle,"We may finally have an explanation of why many people infected with #SARSCoV2 don't get #COVID19 (i.e. are asymptomatic). Their immune system seems to say, stay calm and carry on, don't overreact: https://t.co/f3EXB1Y8TE via @NatureMedicine",06/18/2020 11:25:58,4,0,12,0,False
1273240513282543616,sxbegle,"Rising Covid-19 cases and hospitalizations underscore the long road ahead, @DrewQJoseph explains: https://t.co/YP35CrO8yV via @statnews",06/17/2020 13:06:08,12,2,12,0,False
1272494189234868224,sxbegle,"The power of statistics: in US, Blacks' mortality from #COVID19 &gt;&gt; whites'. Regression analysis ruled out income, poverty, obesity, diabetes as explanations. Which leaves us with  . . . .: https://t.co/peip7cJhN0",06/15/2020 11:40:31,26,8,32,5,False
1271475154376425473,sxbegle,"For 6 months there's been skepticism about 'asymptomatic' #COVID19 , with doubters saying nah, they're just pre-symptomatic. Study of #DiamondPrincess passengers lays that to rest: https://t.co/mexsgoSpkL",06/12/2020 16:11:14,12,0,10,1,False
1271411534221193217,sxbegle,"Read how @raceandhealth is stepping up during pandemic to tackle racism in healthcare &amp; health disparities: https://t.co/JEWbWFPI4W. Key quote in @scchak story: Saying  more Black &amp; brown people are likely to die from Covid-19 b/c they have high b.p. ""is lazy thinking.""",06/12/2020 11:58:26,6,1,6,0,False
1271407880508526592,sxbegle,"So many #COVID19 models, but with many now projecting to Oct. 1 here's one that's been on the money for months: https://t.co/Lyodl7UPhp.  Preview (1st column is now, 2nd is 10/1): https://t.co/qwmDc8s5Xy",06/12/2020 11:43:54,4,1,11,2,True
1271403575722344448,sxbegle,"It's the masks: 78k fewer #COVID19 infections in Italy, 66k fewer in #NYC due to masking alone. Note the senior author on this one, who knows a bit about airborne particles: https://t.co/9ARlc1zEIs.",06/12/2020 11:26:48,93,8,157,22,False
1270377185149431810,sxbegle,"After quite the FU, #WHO 'clarifies' comments on asymptomatic spread of #COVID19. ‘We don’t actually have that answer yet,’ @DrewQJoseph reports https://t.co/IRLjnZMYE0 via @statnews",06/09/2020 15:28:18,8,1,14,0,False
1270342278658359305,sxbegle,"2/2 WHO’s comment was based on “evidence from member states” (not yet shared). ""Communicating preliminary data"" on Covid-19 ""can have tremendous negative impact on how the public and policy makers respond to the pandemic."" Calls on WHO to release data, brief media &amp; public.",06/09/2020 13:09:35,3,1,10,0,False
