tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1409192391207227401,syramadad,"RT @BelferCenter: The #COVID19 pandemic is far from over, and household transmission of the virus continues to be one of the leading causes…",06/27/2021 16:50:22,21,0,0,0,False
1409164902913265664,syramadad,"Luckily the FDA-authorized COVID19 vaccines hold up to the numerous circulating variants. 

This also reinforces the importance of getting the full dose of the COVID19 vaccine (1st and 2nd of the series) for optimal protection",06/27/2021 15:01:08,13,4,70,0,False
1409155801105809409,syramadad,RT @NYCHealthSystem: We will have mobile #COVID19 testing units set up at locations throughout the city today. The walk-in testing sites ar…,06/27/2021 14:24:58,4,0,0,0,False
1409155501368168455,syramadad,"Is one vaccine dose enough if you’ve had COVID? What the science says 

“Research shows that a previous coronavirus infection plus one dose of vaccine provides powerful protection — but concerns linger.”

https://t.co/YAQj2dMthK",06/27/2021 14:23:47,1,0,10,0,False
1408514887836483602,syramadad,"Delta variant is spreading in California as COVID-19 battle enters an uncertain phase 

https://t.co/bb4FuDXihS",06/25/2021 19:58:12,3,1,9,0,False
1408514886834044948,syramadad,"“Officials don’t expect another deadly COVID-19 surge on the order of those that walloped the nation three times in the past 15 months. Rather, the risk is more that the Delta variant will take root in pockets of unimmunized communities that haven’t been previously been infected”",06/25/2021 19:58:12,4,1,22,1,False
1408243904005169160,syramadad,"RT @danieleirasmd: Vaccines have altered the trajectory of the pandemic, no question -- they just flat out work",06/25/2021 02:01:25,29,0,0,0,False
1408241072019546113,syramadad,"RT @EricTopol: Israel was fully open and had contained covid down to &lt;0.1 cases/100,000 people.
Then came the Delta variant. 205 cases toda…",06/25/2021 01:50:10,1688,0,0,0,False
1408220143012892672,syramadad,Thousands of Young Children Lost Parents to Covid. Where’s Help for Them? https://t.co/fdkiKXMvgY,06/25/2021 00:27:00,5,3,8,0,False
1408218114454654978,syramadad,"CDC launches Covid-19 WhatsApp chat in Spanish to spur more Latino vaccinations

“As of June 14th, 36 percent of Latinos had received at least one vaccine dose compared to 45 percent of whites.”

https://t.co/v1qAcpKIKx",06/25/2021 00:18:56,11,0,19,0,False
1408217453352689667,syramadad,"Unvaccinated Missourians fuel COVID: ‘We will be the canary’ 

https://t.co/52RU71BS1u",06/25/2021 00:16:18,0,0,3,0,False
1408217451683205125,syramadad,"“As the U.S. emerges from the COVID-19 crisis, Missouri is becoming a cautionary tale for the rest of the country: It is seeing an alarming rise in cases because of a combination of the fast-spreading delta variant and stubborn resistance among many people to getting vaccinated.”",06/25/2021 00:16:18,5,2,21,0,False
1408215783877103616,syramadad,"Delta COVID variant fuels global surges, complicates reopenings https://t.co/8CTtSJYxWY",06/25/2021 00:09:40,3,0,10,0,False
